id,title,year,critic_score,type,original_language
754,The Love Witch,2016,95,Horror,English
759,Train to Busan,2016,94,Horror,Korean
768,Don't Breathe,2016,88,Horror,English
799,Hush,2016,93,Horror,English
814,The Jungle Book,2016,94,Kids & Family,English
818,Moana,2016,95,Kids & Family,English
823,My Life as a Zucchini,2016,99,Kids & Family,French (France)
867,Pete's Dragon,2016,88,Kids & Family,English
869,A Monster Calls,2016,86,Kids & Family,English
1011,Arrival,2016,94,Mystery & Suspense,English
1023,Hell or High Water,2016,97,Mystery & Suspense,English
1052,The Salesman,2016,96,Mystery & Suspense,Persian
1084,10 Cloverfield Lane,2016,90,Mystery & Suspense,English
1149,Your Name,2016,98,Romance,Japanese
1209,Arrival,2016,94,Science Fiction & Fantasy,English
1229,Captain America: Civil War,2016,90,Science Fiction & Fantasy,English
1242,Kubo and the Two Strings,2016,97,Science Fiction & Fantasy,English
1255,Doctor Strange,2016,89,Science Fiction & Fantasy,English
1283,10 Cloverfield Lane,2016,90,Science Fiction & Fantasy,English
5,Wonder Woman,2017,93,Action & Adventure,English
6,Dunkirk,2017,92,Action & Adventure,English
7,Coco,2017,97,Action & Adventure,English
8,Thor: Ragnarok,2017,93,Action & Adventure,English
9,Logan,2017,93,Action & Adventure,English
10,Star Wars: The Last Jedi,2017,90,Action & Adventure,English
17,War for the Planet of the Apes,2017,94,Action & Adventure,English
18,Spider-Man: Homecoming,2017,92,Action & Adventure,English
19,Baby Driver,2017,92,Action & Adventure,English
27,Blade Runner 2049,2017,88,Action & Adventure,English
68,The LEGO Batman Movie,2017,90,Action & Adventure,English
74,Guardians of the Galaxy Vol. 2,2017,85,Action & Adventure,English
402,Lady Bird,2017,99,Comedy,English
407,Coco,2017,97,Comedy,English
411,The Big Sick,2017,98,Comedy,English
413,Paddington 2,2017,100,Comedy,English (United Kingdom)
423,Three Billboards Outside Ebbing, Missouri,2017,90,Comedy,English
436,The Disaster Artist,2017,91,Comedy,English
443,The Death of Stalin,2017,95,Comedy,English
456,Logan Lucky,2017,92,Comedy,English
461,The LEGO Batman Movie,2017,90,Comedy,English
466,Guardians of the Galaxy Vol. 2,2017,85,Comedy,English
606,Lady Bird,2017,99,Drama,English
613,Wonder Woman,2017,93,Drama,English
618,Dunkirk,2017,92,Drama,English
623,The Shape of Water,2017,92,Drama,English
624,Thor: Ragnarok,2017,93,Drama,English
627,Logan,2017,93,Drama,English
632,Star Wars: The Last Jedi,2017,90,Drama,English
641,Call Me by Your Name,2017,94,Drama,English
646,The Florida Project,2017,96,Drama,English
649,War for the Planet of the Apes,2017,94,Drama,English
652,Spider-Man: Homecoming,2017,92,Drama,English
654,Baby Driver,2017,92,Drama,English
668,Three Billboards Outside Ebbing, Missouri,2017,90,Drama,English
674,Blade Runner 2049,2017,88,Drama,English
688,I, Tonya,2017,90,Drama,English
699,Phantom Thread,2017,91,Drama,English
701,Get Out,2017,98,Horror,English
729,It,2017,86,Horror,English
764,It Comes at Night,2017,87,Horror,English
769,The Endless,2017,92,Horror,English
804,Coco,2017,97,Kids & Family,English
807,Paddington 2,2017,100,Kids & Family,English (United Kingdom)
826,The LEGO Batman Movie,2017,90,Kids & Family,English
859,The Breadwinner,2017,95,Kids & Family,English
1004,Get Out,2017,98,Mystery & Suspense,English
1044,The Post,2017,88,Mystery & Suspense,English
1082,It,2017,86,Mystery & Suspense,English
1103,The Shape of Water,2017,92,Romance,English
1105,The Big Sick,2017,98,Romance,English
1108,Call Me by Your Name,2017,94,Romance,English
1139,God's Own Country,2017,98,Romance,English (United Kingdom)
1206,Wonder Woman,2017,93,Science Fiction & Fantasy,English
1207,The Shape of Water,2017,92,Science Fiction & Fantasy,English
1208,Thor: Ragnarok,2017,93,Science Fiction & Fantasy,English
1210,Logan,2017,93,Science Fiction & Fantasy,English
1213,Star Wars: The Last Jedi,2017,90,Science Fiction & Fantasy,English
1219,War for the Planet of the Apes,2017,94,Science Fiction & Fantasy,English
1221,Spider-Man: Homecoming,2017,92,Science Fiction & Fantasy,English
1228,Blade Runner 2049,2017,88,Science Fiction & Fantasy,English
1268,Guardians of the Galaxy Vol. 2,2017,85,Science Fiction & Fantasy,English
0,Black Panther,2018,96,Action & Adventure,English
2,Mission: Impossible -- Fallout,2018,97,Action & Adventure,English
4,Spider-Man: Into the Spider-Verse,2018,97,Action & Adventure,English
15,Incredibles 2,2018,93,Action & Adventure,English
40,Avengers: Infinity War,2018,85,Action & Adventure,English
41,Ant-Man and The Wasp,2018,87,Action & Adventure,English
43,Isle of Dogs,2018,90,Action & Adventure,English
90,Deadpool 2,2018,84,Action & Adventure,English
98,Annihilation,2018,88,Action & Adventure,English
403,BlacKkKlansman,2018,96,Comedy,English
405,Eighth Grade,2018,99,Comedy,English
429,Crazy Rich Asians,2018,91,Comedy,English
434,Sorry to Bother You,2018,93,Comedy,English
435,Ant-Man and The Wasp,2018,87,Comedy,English
438,Isle of Dogs,2018,90,Comedy,English
494,Deadpool 2,2018,84,Comedy,English
500,Won't You Be My Neighbor?,2018,97,Documentary,English
600,Black Panther,2018,96,Drama,English
607,Mission: Impossible -- Fallout,2018,97,Drama,English
608,BlacKkKlansman,2018,96,Drama,English
614,A Star Is Born,2018,90,Drama,English
616,A Quiet Place,2018,96,Drama,English
617,Roma,2018,95,Drama,Spanish
628,The Favourite,2018,93,Drama,English (United Kingdom)
639,Leave No Trace,2018,100,Drama,English
648,Widows,2018,91,Drama,English
658,Shoplifters,2018,99,Drama,Japanese
682,First Man,2018,87,Drama,English
695,The Hate U Give,2018,97,Drama,English
702,A Quiet Place,2018,96,Horror,English
712,Hereditary,2018,89,Horror,English
766,In Fabric,2018,91,Horror,English (United Kingdom)
772,Cam,2018,93,Horror,English
775,Upgrade,2018,88,Horror,English
